Segment_Type,Segment,N_Observations,Mean_GINI,Std_GINI,Model,RMSE,MAE,R2
Region,Sub-Saharan Africa,174,42.512068965517244,7.579738817859616,Random Forest,4.637033956022914,3.1957867962691915,0.38377673167817605
Region,Sub-Saharan Africa,174,42.512068965517244,7.579738817859616,XGBoost,5.183668840885662,3.8035234663221567,0.22992674860616458
Region,Sub-Saharan Africa,174,42.512068965517244,7.579738817859616,LightGBM,5.102519147187438,3.5164515148910263,0.253848825542193
Region,Europe & Central Asia,940,31.802659574468084,4.29489099644502,Random Forest,1.7831954315738292,1.1227574622763767,0.771524526044215
Region,Europe & Central Asia,940,31.802659574468084,4.29489099644502,XGBoost,1.7809581268651562,1.0756923837864654,0.7720974846473383
Region,Europe & Central Asia,940,31.802659574468084,4.29489099644502,LightGBM,1.839508341169163,1.1129509255076941,0.7568662636441428
Region,Middle East & North Africa,102,35.351960784313725,4.753280196444672,Random Forest,1.772694826786168,1.3725419011543947,0.8549956980220547
Region,Middle East & North Africa,102,35.351960784313725,4.753280196444672,XGBoost,3.4891089388926573,2.561632017655806,0.4382514096029585
Region,Middle East & North Africa,102,35.351960784313725,4.753280196444672,LightGBM,2.433355846626621,1.9176515901042024,0.7267726440624249
Region,Latin America & Caribbean,342,48.29619883040935,5.145288271716461,Random Forest,1.4509555149883562,1.0529722687703318,0.9160278377473856
Region,Latin America & Caribbean,342,48.29619883040935,5.145288271716461,XGBoost,1.3319473509796464,1.009350019182478,0.9292378111861406
Region,Latin America & Caribbean,342,48.29619883040935,5.145288271716461,LightGBM,1.295739152450604,1.000831911892281,0.9330327747402185
Region,East Asia & Pacific,145,36.41241379310345,4.319353124598886,Random Forest,1.3113541588978743,1.0636439097744443,0.8293742495509825
Region,East Asia & Pacific,145,36.41241379310345,4.319353124598886,XGBoost,1.5090219273548495,1.196042226155599,0.7740586706655792
Region,East Asia & Pacific,145,36.41241379310345,4.319353124598886,LightGBM,1.312986929684851,0.993975044406261,0.8289490918203206
Region,South Asia,36,33.43333333333333,4.779993026494216,Random Forest,2.668168308971533,2.3343750000000054,0.5450994758334242
Region,South Asia,36,33.43333333333333,4.779993026494216,XGBoost,4.252940964773507,2.4508294105529784,-0.15576277557714358
Region,South Asia,36,33.43333333333333,4.779993026494216,LightGBM,5.155116853376303,4.8464285850524895,-0.6981147030279076
Region,North America,46,37.26086956521739,4.02359769041229,Random Forest,0.5920386811687249,0.34159999999998975,0.9740008752670304
Region,North America,46,37.26086956521739,4.02359769041229,XGBoost,0.28821118171231636,0.22517478942871066,0.9938385885010674
Region,North America,46,37.26086956521739,4.02359769041229,LightGBM,3.87086385593153,3.8211111577351886,-0.11141014354061163
Region,Other,36,36.150000000000006,7.2188603286422195,Random Forest,7.3773427041855735,5.799125000000004,-0.13641792840643863
Region,Other,36,36.150000000000006,7.2188603286422195,XGBoost,3.8436885296091265,3.273937177658082,0.6915146564495801
Region,Other,36,36.150000000000006,7.2188603286422195,LightGBM,6.924052278178864,6.374999972752162,-0.0010570676331611573
