country_code,country_name,year,SI.POV.GINI,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GDP.MKTP.CD,NV.AGR.TOTL.ZS,NV.IND.TOTL.ZS,NY.GDP.PCAP.PP.CD,SP.URB.TOTL,SP.URB.GROW,SP.RUR.TOTL,NV.SRV.TOTL.ZS,SP.POP.TOTL,SP.DYN.TFRT.IN,SP.POP.DPND,SH.XPD.CHEX.PC.CD,SH.XPD.GHED.GD.ZS,SH.XPD.CHEX.GD.ZS,SE.PRM.ENRL,SH.XPD.PVTD.CH.ZS,SE.SEC.ENRL,SE.XPD.TOTL.GD.ZS,SL.TLF.CACT.ZS,SL.TLF.CACT.MA.ZS,SL.TLF.CACT.FE.ZS,SL.UEM.TOTL.ZS,SL.UEM.TOTL.MA.ZS,SL.UEM.TOTL.FE.ZS,SL.UEM.1524.ZS,SL.IND.EMPL.ZS,SL.SRV.EMPL.ZS,SL.AGR.EMPL.ZS,NE.EXP.GNFS.ZS,NE.IMP.GNFS.ZS,BX.KLT.DINV.WD.GD.ZS,FR.INR.DPST,BN.CAB.XOKA.GD.ZS,PA.NUS.FCRF,IT.NET.USER.ZS,EG.ELC.ACCS.ZS,AG.LND.FRST.ZS,AG.LND.AGRI.ZS,ER.H2O.FWTL.K3,ER.H2O.FWST.ZS,EG.FEC.RNEW.ZS,EG.ELC.RNEW.ZS,EN.ATM.PM25.MC.M3,EG.USE.COMM.FO.ZS,EG.ELC.ACCS.RU.ZS,EG.ELC.ACCS.UR.ZS,AG.PRD.CROP.XD,AG.YLD.CREL.KG,SG.GEN.PARL.ZS,SE.ENR.PRIM.FM.ZS,year_feature,urbanization_rate,log_gdp_per_capita,trade_openness,health_to_edu_ratio,gender_labor_gap,economic_diversity
ALB,Albania,2018,30.1,3.67141928098908,5897.65452588774,15379508329.7568,17.9155558179549,23.7535886253159,15054.9984743848,1470162.0,-0.836872014010015,1137571.0,44.3970282534603,2607733.0,1.415,46.5089324540399,349.21127319,2.87454414,6.66844559,170861.0,56.4724884,268872.0,3.08201370407389,59.296,67.535,51.407,12.304,12.635,11.888,28.109,19.7456941750012,42.968624648103,37.2857622124655,31.1140135421951,44.5800648295474,7.83109146132114,0.751666666666667,-6.60766481105068,107.989166666667,65.4,100.0,28.7919708029197,42.8496715328467,0.958,5.757211539,37.8,21.26689992214596,19.0461862321065,0.0,100.0,100.0,106.17,4840.5,27.8571428571429,1.03764998912811,2018.0,56.37701405780423,8.682479557427557,75.6940783717425,2.1636651326973224,16.128,0.6143988987869142
ALB,Albania,2019,30.1,2.06257790176122,6069.43903131027,15585111614.0376,18.1603973706713,22.9655210859374,16441.8041908551,1457584.0,-0.859232828535257,1110217.0,45.4534114346696,2567801.0,1.395,47.0423753077936,366.34014893,2.92877913,6.86214113,167104.0,56.65520096,256072.0,3.87018990516663,60.306,68.004,52.93,11.466,11.587,11.318,26.942,20.1506525937613,43.4325082220421,36.4168391841966,30.9361224858484,44.4460064468406,7.70621465029911,0.4925,-7.82064355473536,109.850833333333,68.5504,100.0,28.7919708029197,42.8467153284672,1.131,6.796875,40.1,13.984345261762442,15.70470712234,0.0,100.0,100.0,107.67,5038.2,29.5081967213115,1.029629945755,2019.0,56.76390031782058,8.7111862094957,75.382128932689,1.773076075889499,15.074000000000005,0.6100272865797765
ALB,Albania,2020,29.4,-3.31375636888916,6027.91350716348,15241458744.5927,18.8061378649169,23.4687164183412,16287.6432648867,1444795.0,-0.881282752690579,1083685.0,45.7213497398907,2528480.0,1.371,47.6864712685303,396.17477417,2.99000263,7.50389433,162170.0,59.47789001,242242.0,3.325040102005,57.78,65.26,50.616,11.69,11.724,11.648,28.117,20.6416340686907,43.093531370174,36.2649172971148,22.5407585558933,36.9799408832942,7.01865154497786,0.415,-8.62504716716646,108.65,72.2377,100.0,28.7919708029197,42.538503649635,0.786,4.723557692,44.4,16.87745921729446,15.7070036417042,0.0,100.0,100.0,114.06,5209.2,29.5081967213115,1.02745997905731,2020.0,57.140851420616336,8.704322092253388,59.520699439187496,2.256783106307545,14.644000000000005,0.6132293793243997
ARE,United Arab Emirates,2013,32.5,4.91847806719888,53247.2409495441,409632675289.313,0.631291645173813,52.9894122214127,87526.3254797061,6458747.0,4.22747498230438,1234284.0,46.3792961334135,7693031.0,1.527,22.4163226622205,1789.68579102,2.52060986,3.50222182,3289821.0,28.02826118,2966787.8,4.4962559740290065,77.359,91.989,46.08,2.126,1.492,4.833,6.118,28.6745413742511,68.6818772775161,2.64356107210435,95.7551835445394,61.6429004451015,2.38382217021709,9.485408674506768,-0.14419024830237187,3.6725,88.0,100.0,4.46775556181357,5.34215713883413,2.595636364,1730.424242,0.1,0.0783671985090231,43.6717315179427,96.0904116722455,100.0,100.0,67.83,36761.9,17.5,1.02781999111176,2013.0,83.95581663456186,10.882720049214665,157.3980839896409,0.7789195811424695,45.909000000000006,0.5040684553457069
ARE,United Arab Emirates,2018,26.4,1.53716683173516,47135.3591943971,440560108917.631,0.705642980623094,45.7439845434706,77446.2269929923,7931627.0,1.53452882748354,1415074.0,53.5503724759063,9346701.0,1.288,22.2647153045603,1872.58422852,2.1139648,4.09854221,642987.0,48.42153931,680247.0,4.895306546298294,79.108,92.545,51.312,2.236,1.293,5.754,6.747,34.5965514744327,63.939363137555,1.46406877917757,90.8429581255868,63.9040468937061,2.35729150002132,10.977100668744754,2.66515904635538,3.6725,98.45,100.0,4.46775556181357,5.37524640946212,2.501,1667.333333,0.3,0.885151528519123,45.9879061419392,0.0,100.0,100.0,98.98,20853.3,22.5,0.9946179866790772,2018.0,84.86017686882249,10.760799939616831,154.7470050192929,0.8372391332876207,41.233000000000004,0.5039347553762317
ARG,Argentina,2000,51.0,-0.78899893905691,7637.01489203628,284203750000.0,4.67991094417297,25.9908360111364,11499.9828002518,33185952.0,1.34737382914344,4028032.0,63.469313441501,37213984.0,2.591,60.8399424011737,702.23309326,4.49895144,8.22001076,4900956.0,45.23767471,3829421.0,4.58030986785889,62.324,74.797,50.552,15.0,14.029,16.356,32.348,22.6821568510036,76.2350268110751,1.08281633792123,10.9863752325576,11.6360695451767,3.66579059535379,3.046290077175734,-3.15992237703676,0.9995,7.03868,95.7,12.1964855354461,46.9581867146078,30.366725,8.424904284,9.8,33.0317886599097,17.42603648416,88.9688614537143,91.8,96.2,60.89,3461.8,26.4591439688716,0.991039991378784,2000.0,89.17602587242473,8.94089301751337,22.6224447777343,1.7946407551335652,24.244999999999997,0.4667578741884607
ARG,Argentina,2001,53.3,-4.40883968258557,7141.47507662826,268696750000.0,4.56858960891786,25.2434339827333,11117.754923787,33624665.0,1.31332212006024,4000160.0,65.0812573281962,37624825.0,2.531,60.442088771688,668.79309082,4.59210253,8.37179852,4950674.0,44.94721985,3904915.0,4.833740234375,61.646,74.251,49.745,17.32,17.411,17.191,37.036,21.967694517928,76.9664059375007,1.06589954457131,11.5790080825317,10.2732473690136,0.806164134759348,2.52469328562917,-1.40694788500181,0.9995,9.78081,95.5,12.0808714176615,46.9932655872605,31.03232273,8.609566843,11.5,41.617243827229,17.183873772998,88.1323497632881,88.6,96.3,63.93,3398.6,27.30230355873876,0.992370009422302,2001.0,89.36829606516442,8.873814644652324,21.8522554515453,1.7319504388060003,24.506000000000007,0.45654445643599817
ARG,Argentina,2002,53.8,-10.8944848285903,2569.69963519124,97724004251.8602,10.2066467144411,30.5577370913046,9953.46492880857,34059720.0,1.28555793668095,3969629.0,54.7764456459146,38029349.0,2.493,60.0100181534326,221.80255127,4.03350496,7.3933115,4986758.0,43.47652435,3905207.0,4.01734018325806,60.112,73.072,47.873,19.59,20.122,18.823,41.378,20.2072823511607,78.7307786581781,1.06193899066126,28.3825969991682,13.370127359396,2.19895819502207,4.11540867450676,8.97078467784247,3.06325666666667,10.8821,96.1,11.9652572998769,47.031267699301,31.69792045,8.794229401,11.6,43.2402458483541,16.9235142685328,86.5116522119285,92.6,96.5,65.11,3275.7,30.7392996108949,0.993120014667511,2002.0,89.56166985661521,7.8519333724328915,41.7527243585642,1.8403498739815531,25.199000000000005,0.5575824091613845
ARG,Argentina,2003,51.0,8.83704079576924,3320.47775133903,127586973492.177,10.328166939117,32.6450990996503,10933.3925491594,34486742.0,1.24595059100681,3937540.0,51.0316942508769,38424282.0,2.451,59.5157720560259,259.99020386,3.77215648,6.89451647,4885664.0,44.94412231,3902011.0,3.53504991531372,61.018,73.84,48.903,15.36,13.806,17.577,32.933,21.875644795885,77.1028317872127,1.02152341690235,25.9309429264224,14.7138051046861,1.29481086883944,3.6871936136934282,6.37990680177011,2.90062916666667,11.9137,96.3,11.8496431820922,47.1749814557001,32.36351818,8.97889196,10.8,37.8812394109214,16.6435724137411,85.6996942186908,92.9,96.7,67.6,3308.7,30.7392996108949,0.992860019207001,2003.0,89.75246954516938,8.10816506870533,40.6447480311085,1.950330726627984,24.937000000000005,0.5726336802477534
ARG,Argentina,2004,48.5,9.02957330068152,4242.02099089422,164657930452.787,8.36248661002826,28.816922006834,12117.6797423098,34910927.0,1.22249144364105,3904989.0,47.8369882937827,38815916.0,2.43,58.9908808603745,309.04415894,3.74438357,7.22868252,4923075.0,41.91094971,3919748.0,3.48652005195618,61.943,74.613,49.963,13.522,11.893,15.823,29.544,22.8144475296486,76.2156126308423,0.969933232604466,23.8476194239892,16.8450266849578,2.5050175164097,5.190908674506754,1.95058324319273,2.92330081890332,16.0367,96.5,11.7340290643076,47.3186952120993,33.02911591,9.163554519,9.3,31.5189022626871,16.3426626515998,87.9335613804311,93.2,96.9,66.46,3658.8,33.7254901960784,0.991110026836395,2004.0,89.93972214902773,8.353030792372321,40.692646108947,2.0733230878578217,24.65,0.5588243957407659
